"book_id","goodreads_book_id","isbn","authors","title","average_rating","ratings_count","work_ratings_count","work_text_reviews_count","ratings_1","ratings_2","ratings_3","ratings_4","ratings_5","top_1","top_2","top_3","top_4","top_5"
32,890,"142000671","John Steinbeck","Of Mice and Men",3.84,1467496,1518741,24642,46630,110856,355169,532291,473795,"classics","fiction","classics","school","literature"
33,930,"739326228","Arthur Golden","Memoirs of a Geisha",4.08,1300209,1418172,25605,23500,59033,258700,517157,559782,"fiction","historical-fiction","romance","historical","japan"
34,10818853,"1612130291","E.L. James","Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493,1436818,75437,165455,152293,252185,294976,571909,"romance","fifty-shades","fiction","my-books","new-adult"
35,865,"61122416","Paulo Coelho, Alan R. Clarke","The Alchemist",3.82,1299566,1403995,55781,74846,123614,289143,412180,504212,"fiction","classics","fantasy","philosophy","spirituality"
36,3636,"385732554","Lois Lowry","The Giver (The Giver, #1)",4.12,1296825,1345445,54084,26497,59652,225326,448691,585279,"children","fiction","classics","school-books","teen"
37,100915,"60764899","C.S. Lewis","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800,1584884,15186,19309,55542,262038,513366,734629,"fantasy","classics","fiction","young adult","children"
38,14050,"965818675","Audrey Niffenegger","The Time Traveler's Wife",3.95,746287,1308667,43382,44339,85429,257805,427210,493884,"fiction","romance","fantasy","time-travel","science fiction"
39,13496,"553588486","George R.R. Martin","A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204,1442220,46205,19988,28983,114092,404583,874574,"fiction","science fiction","fantasy","science fiction","adult"
40,19501,"143038419","Elizabeth Gilbert","Eat, Pray, Love",3.51,1181647,1206597,49714,100373,149549,310212,332191,314272,"non-fiction","memoir","travel","non-fiction","fiction"
41,28187,"786838655","Rick Riordan","The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265,1411114,46006,18303,48294,219638,435514,689365,"fantasy","young adult","mythology","young adult","fiction"
42,1934,"451529308","Louisa May Alcott","Little Women (Little Women, #1)",4.04,1257121,1314293,17090,31645,70011,250794,426280,535563,"classics","fiction","classics","young adult","historical-fiction"
43,10210,"142437204","Charlotte Brontë, Michael Mason","Jane Eyre",4.1,1198557,1286135,31212,35132,64274,212294,400214,574221,"classics","literature","gothic","historical","british"
44,15931,"553816713","Nicholas Sparks","The Notebook (The Notebook, #1)",4.06,1053403,1076749,17279,41395,63432,176469,298259,497194,"fiction","nicholas-sparks","chick-lit","romance","contemporary"
45,4214,"770430074","Yann Martel","Life of Pi",3.88,1003228,1077431,42962,39768,74331,218702,384164,360466,"fantasy","adventure","classics","contemporary","literature"
46,43641,"1565125606","Sara Gruen","Water for Elephants",4.07,1068146,1108839,55732,16705,49832,200154,417328,424820,"fiction","historical-fiction","romance","bookclub","contemporary-fiction"
47,19063,"375831002","Markus Zusak","The Book Thief",4.36,1159741,1287798,93611,17892,35360,135272,377218,722056,"historical-fiction","fiction","young adult","young adult","historical"
48,4381,"307347974","Ray Bradbury","Fahrenheit 451",3.97,570498,1176240,30694,28366,64289,238242,426292,419051,"classics","fiction","science fiction","science fiction","dystopian"
49,49041,"316160199","Stephenie Meyer","New Moon (Twilight, #2)",3.52,1149630,1199000,44020,102837,160660,294207,290612,350684,"young adult","fantasy","romance","vampires","young adult"
50,30119,"60513039","Shel Silverstein","Where the Sidewalk Ends",4.29,1016888,1023781,9234,16590,30792,139024,293222,544153,"poetry","children","children","classics","children"
51,256683,"1416914285","Cassandra Clare","City of Bones (The Mortal Instruments, #1)",4.12,1154031,1241799,51589,34122,65349,203466,356048,582814,"young adult","paranormal","romance","urban-fantasy","fiction"
52,428263,"316160202","Stephenie Meyer","Eclipse (Twilight, #3)",3.69,1134511,1176642,35216,83094,124293,260763,309358,399134,"young adult","fantasy","romance","vampires","young adult"
53,113436,"375826696","Christopher Paolini","Eragon (The Inheritance Cycle, #1)",3.86,1104021,1125231,18280,50563,88536,240157,337943,408032,"fantasy","young adult","fiction","young adult","dragons"
54,11,"345391802","Douglas Adams","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,936782,1006479,20345,21764,41962,145173,299579,498001,"science fiction","science fiction","fiction","humor","fantasy"
55,5129,"60929871","Aldous Huxley","Brave New World",3.97,1022601,1079135,20095,26367,60328,219895,389379,383166,"classics","fiction","science fiction","science fiction","dystopian"
56,1162543,"031606792X","Stephenie Meyer","Breaking Dawn (Twilight, #4)",3.7,1070245,1107709,44550,100994,114893,213402,267706,410714,"fantasy","young adult","science fiction","contemporary","young adult"
57,37435,"142001740","Sue Monk Kidd","The Secret Life of Bees",4.01,916189,937393,26522,17500,45455,185631,347540,341267,"fiction","historical-fiction","young adult","adult-fiction","classics"
58,2956,"142437174","Mark Twain, John Seelye, Guy Cardwell","The Adventures of Huckleberry Finn",3.8,953758,1001491,12448,28467,76630,255722,344356,296316,"classics","fiction","classics","historical-fiction","literature"
59,24178,"64410935","E.B. White, Garth Williams, Rosemary Wells","Charlotte's Web",4.15,1064521,1084842,13044,18450,41124,191415,346090,487763,"classics","children","fiction","children","children"
60,1618,"1400032717","Mark Haddon","The Curious Incident of the Dog in the Night-Time",3.85,867553,915790,35796,21049,58117,218218,355925,262481,"fiction","young adult","classics","audio","mystery"
61,22557272,"1594633665","Paula Hawkins","The Girl on the Train",3.88,1008778,1226485,93600,27773,73897,273817,488447,362551,"mystery","fiction","thriller","read-in-2015","crime"
62,119322,"679879242","Philip Pullman","The Golden Compass (His Dark Materials, #1)",3.94,953970,994914,14915,38382,64591,198764,313147,380030,"fantasy","young adult","fiction","young adult","children"
63,6185,"393978893","Emily Brontë, Richard J. Dunn","Wuthering Heights",3.82,899195,1001135,26157,46469,84084,215320,309180,346082,"classics","fiction","classics","romance","literature"
64,10917,"743454537","Jodi Picoult","My Sister's Keeper",4.06,863879,887880,30719,17547,42763,162573,314003,350994,"fiction","jodi-picoult","contemporary","chick-lit","drama"
65,4981,"385333846","Kurt Vonnegut Jr.","Slaughterhouse-Five",4.06,846488,891762,19646,24964,45518,152442,300948,367890,"classics","fiction","science fiction","science fiction","classics"
66,18405,"446675539","Margaret Mitchell","Gone with the Wind",4.28,873981,897303,16050,19996,33136,116160,234290,493721,"classics","historical-fiction","fiction","romance","classics"
67,128029,"1594489505","Khaled Hosseini","A Thousand Splendid Suns",4.34,818742,866065,43645,6509,18015,99030,295817,446694,"fiction","historical-fiction","afghanistan","contemporary","middle-east"
68,22628,"671027344","Stephen Chbosky","The Perks of Being a Wallflower",4.21,888806,954905,47116,14286,38658,143440,297501,461020,"fiction","young adult","contemporary","coming-of-age","realistic-fiction"
69,11735983,"7442912","Veronica Roth","Insurgent (Divergent, #2)",4.07,836362,947338,55873,10641,44620,182131,339977,369969,"young adult","dystopian","dystopian","young adult","fiction"
70,375802,"812550706","Orson Scott Card","Ender's Game (Ender's Saga, #1)",4.3,813439,873417,38054,15330,27612,103439,264207,462829,"science fiction","science fiction","fiction","young adult","fantasy"
71,18490,"141439475","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein",3.75,808589,883563,19993,29366,74142,231022,300495,248538,"classics","fiction","horror","science fiction","gothic"
72,11588,"450040186","Stephen King","The Shining (The Shining #1)",4.17,791850,830881,14936,18487,28981,123862,277393,382158,"fiction","fantasy","king","mystery","supernatural"
73,1656001,"316068047","Stephenie Meyer","The Host (The Host, #1)",3.84,749780,777560,39778,44215,62501,154906,227180,288758,"science fiction","science fiction","fiction","dystopian","young adult"
74,99561,"142402516","John Green","Looking for Alaska",4.09,783470,831285,47128,16940,44232,147324,262932,359857,"young adult","young adult","fiction","contemporary","romance"
75,227443,"014028009X","Helen Fielding","Bridget Jones's Diary (Bridget Jones, #1)",3.75,736498,754498,8157,28973,59309,198555,254836,212825,"chick-lit","fiction","romance","humor","contemporary"
76,14935,"141439661","Jane Austen, Tony Tanner, Ros Ballaster","Sense and Sensibility",4.06,738894,779382,11526,18430,34699,141987,272512,311754,"fiction","historical-fiction","literature","classic-literature","british"
77,38709,"439244196","Louis Sachar, Louis Sachar","Holes (Holes, #1)",3.93,747445,764637,15832,15495,43786,176946,269153,259257,"young adult","fiction","young adult","children","children"
78,5139,"307275558","Lauren Weisberger","The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,665930,679845,8024,24231,58323,192366,226675,178250,"chick-lit","fiction","contemporary","chicklit","romance"
79,1381,"143039954","Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox","The Odyssey",3.73,670326,710757,8101,29703,65629,183082,224120,208223,"classics","fiction","poetry","classics","mythology"
80,157993,"156012197","Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta","The Little Prince",4.28,738757,859286,24537,15039,32866,114714,228440,468227,"fantasy","children","children","classics","french"
81,7445,"074324754X","Jeannette Walls","The Glass Castle",4.24,621099,637866,40777,7901,18922,85191,227750,298102,"non-fiction","memoir","non-fiction","memoirs","biography"
82,1845,"385486804","Jon Krakauer","Into the Wild",3.94,647684,665377,17299,19229,35567,135199,248287,227095,"non-fiction","non-fiction","biography","adventure","travel"
83,1953,"141439602","Charles Dickens, Richard Maxwell, Hablot Knight Browne","A Tale of Two Cities",3.81,637412,677713,13093,28904,55555,153305,216378,223571,"classics","fiction","classics","historical-fiction","literature"
84,7677,"030734813X","Michael Crichton","Jurassic Park (Jurassic Park, #1)",3.96,447833,650483,8143,15736,34222,138327,231583,230615,"science fiction","fiction","science fiction","thriller","adventure"
85,370493,"60256656","Shel Silverstein","The Giving Tree",4.38,702332,708287,14368,15345,20408,76071,167542,428921,"children","children","children","children","classics"
86,32542,"385338600","John Grisham","A Time to Kill",4.03,597775,608824,4239,12106,25938,122675,218617,229488,"fiction","mystery","thriller","crime","suspense"
87,1617,"374500010","Elie Wiesel, Marion Wiesel","Night (The Night Trilogy #1)",4.3,691231,707879,22001,7761,18539,90575,230227,360777,"non-fiction","classics","history","non-fiction","school"
88,6442769,"014241493X","John Green","Paper Towns",3.88,461311,655271,42717,14105,47183,154479,223895,215609,"young adult","john-green","young adult","contemporary","fiction"
89,21787,"345418263","William Goldman","The Princess Bride",4.25,628637,658042,15630,12883,21641,89236,196047,338235,"science fiction","young adult","adult-fiction","fairy-tale","historical-fiction"
90,231804,"014038572X","S.E. Hinton","The Outsiders",4.06,659248,680437,22662,10178,34346,134244,227250,274419,"fiction","young adult","classics","school","classics"
91,6186357,"385737947","James Dashner","The Maze Runner (Maze Runner, #1)",4.02,719925,777956,48942,15291,43370,150488,266698,302109,"young adult","dystopian","dystopian","young adult","science fiction"
92,1202,"61234001","Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,524191,549301,13668,14586,26538,115789,216316,176072,"non-fiction","science","non-fiction","psychology","sociology"
93,2998,"517189607","Frances Hodgson Burnett","The Secret Garden",4.12,639357,692249,13054,8005,25207,129646,243821,285570,"classics","fiction","children","classics","children"
94,320,"60531045","Gabriel García Márquez, Gregory Rabassa","One Hundred Years of Solitude",4.04,490565,575667,21671,27340,37646,87675,155809,267197,"classics","literature","classics","latin-america","novel"
95,5297,"375751513","Oscar Wilde, Jeffrey Eugenides","The Picture of Dorian Gray",4.06,590014,674551,19647,9825,30735,129420,246892,257679,"classics","fiction","classics","horror","fantasy"
96,13536860,"345803507","E.L. James","Fifty Shades Freed (Fifty Shades, #3)",3.88,387290,610116,25287,39079,55691,109963,140304,265079,"erotica","fiction","bdsm","adult","contemporary"
97,17245,"393970124","Bram Stoker, Nina Auerbach, David J. Skal","Dracula",3.98,618973,689739,17263,11756,36719,151396,246043,243825,"classics","horror","fiction","fantasy","classics"
98,5060378,"307269981","Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",4.22,563994,649253,31423,4623,15781,91021,258236,279592,"fiction","mystery","crime","suspense","mystery"
99,11857408,"1612130585","E.L. James","Fifty Shades Darker (Fifty Shades, #2)",3.87,552059,623340,28052,37245,58935,114203,150906,262051,"romance","guilty-pleasure","favs","billionaire","erótica"
100,7244,"60786507","Barbara Kingsolver","The Poisonwood Bible",4.02,546502,562787,19941,21699,33702,92590,175725,239071,"historical-fiction","fiction","classics","literature","africa"
101,4137,"349113912","David Sedaris","Me Talk Pretty One Day",3.97,495736,514276,14982,19718,29034,93427,178021,194076,"humor","non-fiction","memoir","non-fiction","essays"
102,19543,"99408392","Maurice Sendak","Where the Wild Things Are",4.22,620618,636061,9102,15392,27532,93700,167043,332394,"children","picture-books","children","children","children"
103,7126,"140449264","Alexandre Dumas, Robin Buss","The Count of Monte Cristo",4.21,555822,601220,15925,10381,22482,89980,183142,295235,"classics","fiction","classics","historical-fiction","adventure"
104,6288,"307265439","Cormac McCarthy","The Road",3.95,504793,555787,38980,20086,36561,100989,190823,207328,"science fiction","dystopian","dystopian","fiction","science fiction"
105,18710190,"7524277","Veronica Roth","Allegiant (Divergent, #3)",3.63,463257,663226,62536,31626,78366,176061,192785,184388,"young adult","dystopian","dystopian","young adult","fiction"
107,3473,"446693804","Nicholas Sparks","A Walk to Remember",4.15,546948,559581,11071,10640,24094,94327,169650,260870,"adult","drama","adult-fiction","love","realistic-fiction"
108,9416,"440241413","Sophie Kinsella","Confessions of a Shopaholic (Shopaholic, #1)",3.61,543658,558004,11170,30705,56949,156636,166927,146787,"sophie-kinsella","chic-lit","funny","adult-fiction","contemporary-romance"
109,24280,"451525264","Victor Hugo, Lee Fahnestock, Norman MacAfee","Les Misérables",4.14,513407,560132,12505,15225,25914,87461,167385,264147,"classics","fiction","historical-fiction","classics","literature"
110,10572,"553381695","George R.R. Martin","A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,523303,606765,20325,1788,7104,56167,221706,320000,"fantasy","fiction","science fiction","science fiction","a-song-of-ice-and-fire"
111,10441,"143037145","Kim Edwards","The Memory Keeper's Daughter",3.64,501430,510582,18027,19453,47004,145437,183150,115538,"fiction","contemporary","adult-fiction","adult","contemporary-fiction"
112,15507958,"670026603","Jojo Moyes","Me Before You (Me Before You, #1)",4.27,587647,741133,71412,10346,21880,91517,249474,367916,"romance","read-in-2015","fiction","read-in-2014","audio"
113,168668,"684833395","Joseph Heller","Catch-22",3.98,563265,582515,13734,20639,37912,106269,186745,230950,"classics","fiction","classics","war","humor"
114,6900,"751529818","Mitch Albom, Saulius Dagys","Tuesdays with Morrie",4.06,556518,584397,19272,11507,30534,107446,194448,240462,"non-fiction","fiction","non-fiction","memoir","biography"
115,2187,"312422156","Jeffrey Eugenides","Middlesex",3.98,488243,507998,20880,19329,30503,89740,171099,197327,"fiction","historical-fiction","contemporary","lgbtq","contemporary-fiction"
116,24583,"143039563","Mark Twain, Guy Cardwell, John Seelye","The Adventures of Tom Sawyer",3.89,555359,594226,7165,12130,34349,143659,217896,186192,"classics","fiction","classics","adventure","young adult"
117,18131,"440498058","Madeleine L'Engle","A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,615907,650094,19413,17313,34988,119115,209745,268933,"fantasy","young adult","fiction","classics","science fiction"
118,7763,"143038095","Amy Tan","The Joy Luck Club",3.9,515090,525243,6708,14802,30197,116748,195930,167566,"classics","china","fiction","contemporary","adult-fiction"
119,38447,"038549081X","Margaret Atwood","The Handmaid's Tale",4.06,607889,683564,35925,13998,32561,116975,252942,267088,"fiction","classics","dystopian","dystopian","science fiction"
120,452306,"385729332","Ann Brashares","The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,525706,536604,6477,14996,42396,152024,177404,149784,"young adult","young adult","fiction","chick-lit","contemporary"
122,37442,"60987103","Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,506900,525498,22926,40802,65835,132061,153583,133217,"adult","science fiction","adult-fiction","fairy-tales","magic"
123,5358,"582418275","John Grisham","The Firm (Penguin Readers, Level 5)",3.99,488269,488355,3139,5075,20119,111543,190966,160652,"fiction","thriller","mystery","suspense","crime"
124,7937843,"316098337","Emma Donoghue","Room",4.03,511360,556327,42254,11020,26079,99831,217995,201402,"fiction","contemporary","adult","adult-fiction","contemporary-fiction"
125,1420,"521618746","William Shakespeare, Richard Andrews, Rex Gibson","Hamlet",4,515820,576894,8889,10413,32697,121040,192937,219807,"classics","plays","fiction","drama","classics"
126,234225,"340839937","Frank Herbert","Dune (Dune Chronicles #1)",4.19,485032,525976,13239,13354,22778,74206,154771,260867,"science fiction","science fiction","fiction","fantasy","classics"
127,2612,"316346624","Malcolm Gladwell","The Tipping Point: How Little Things Can Make a Big Difference",3.92,490504,499066,10895,15111,25871,106453,189120,162511,"non-fiction","non-fiction","business","psychology","sociology"
128,11084145,"1451648537","Walter Isaacson","Steve Jobs",4.09,560715,579256,15198,19680,21986,88456,203975,245159,"biography","non-fiction","biography","business","non-fiction"
129,332613,"451163966","Ken Kesey","One Flew Over the Cuckoo's Nest",4.18,491642,514458,7855,5672,15978,78714,191622,222472,"classics","fiction","classics","literature","psychology"
130,2165,"684830493","Ernest Hemingway","The Old Man and the Sea",3.73,520630,574328,16716,28645,52583,136217,186747,170136,"classics","fiction","classics","literature","american-literature"
131,4395,"142000663","John Steinbeck","The Grapes of Wrath",3.92,322321,553352,12991,23552,40261,103475,173589,212475,"classics","fiction","classics","historical-fiction","literature"
132,3431,"1401308589","Mitch Albom","The Five People You Meet in Heaven",3.9,449501,474699,16682,12360,33669,107800,155830,165040,"spirituality","fiction","contemporary-fiction","rory-gilmore-reading-challenge","christianity"
133,8127,"451528824","L.M. Montgomery","Anne of Green Gables (Anne of Green Gables, #1)",4.23,502247,533352,14041,8864,19531,80256,158725,265976,"fiction","young adult","classics","children","historical-fiction"
134,3777732,"1416914307","Cassandra Clare","City of Glass (The Mortal Instruments, #3)",4.34,593173,630560,22736,6646,17351,79202,179290,348071,"fantasy","young adult","young adult","paranormal","urban-fantasy"
135,62291,"055357342X","George R.R. Martin","A Storm of Swords (A Song of Ice and Fire, #3)",4.54,469022,527644,19497,1456,4820,36418,149268,335682,"fantasy","fiction","science fiction","science fiction","a-song-of-ice-and-fire"
136,137791,"006075995X","Rebecca Wells","Divine Secrets of the Ya-Ya Sisterhood",3.79,465676,470508,3867,15795,35314,120396,158451,140552,"fiction","chick-lit","contemporary","adult-fiction","rory-gilmore-reading-challenge"
137,10964,"440242940","Diana Gabaldon","Outlander (Outlander, #1)",4.2,515547,578842,36707,20998,27673,73126,147085,309960,"historical-fiction","romance","fantasy","fiction","time-travel"
138,12296,"142437263","Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym","The Scarlet Letter",3.37,509883,559246,11428,34813,80444,182701,165079,96209,"school","literature","high-school","historical","classic-literature"
139,9460487,"1594744769","Ransom Riggs","Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,613674,672222,53569,14920,45434,159227,234792,217849,"fantasy","young adult","fiction","young adult","paranormal"
140,6892870,"030726999X","Stieg Larsson, Reg Keeland","The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,443951,526791,26766,3823,14773,78387,203297,226511,"fiction","mystery","thriller","crime","mystery"
141,18007564,"804139024","Andy Weir","The Martian",4.39,423344,529702,61298,4114,10856,49200,173861,291671,"science fiction","read-in-2015","adventure","science","adult"
142,5043,"451207149","Ken Follett","The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,462517,495893,26283,9248,16886,57825,148052,263882,"historical-fiction","fiction","historical","history","medieval"
143,18143977,"1476746583","Anthony Doerr","All the Light We Cannot See",4.31,470001,547827,53413,6209,14527,61020,185239,280832,"historical-fiction","fiction","historical","war","wwii"
144,8664353,"1400064163","Laura Hillenbrand","Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775,528552,41572,10308,12874,47828,144203,313339,"non-fiction","history","biography","non-fiction","war"
145,976,"671027387","Dan Brown","Deception Point",3.67,455610,479733,7798,14380,45006,143182,160819,116346,"fiction","thriller","mystery","suspense","adventure"
146,17333223,"316055433","Donna Tartt","The Goldfinch",3.87,396756,463847,44631,19164,35300,93459,153459,162465,"fiction","contemporary","literary-fiction","read-in-2014","art"
147,1217100,"1595141715","Jay Asher","Thirteen Reasons Why",4.02,463783,571281,43467,15246,35668,105414,179197,235756,"young adult","realistic-fiction","young adult","suicide","teen"
148,2865,"452287022","Tracy Chevalier","Girl with a Pearl Earring",3.85,467577,492177,8011,11525,28287,123463,189656,139246,"historical-fiction","fiction","historical","art","classics"
149,4374400,"525421033","Gayle Forman","If I Stay (If I Stay, #1)",3.96,503527,567087,34959,12666,34896,122977,190793,205755,"young adult","young adult","romance","contemporary","fiction"
150,4989,"312353766","Anita Diamant","The Red Tent",4.16,424981,449217,17234,9470,19616,67878,146178,206075,"historical-fiction","history","fiction","christianity","literature"
151,28186,"786856866","Rick Riordan","The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,514932,550512,20097,2967,13884,91127,188988,253546,"fantasy","young adult","mythology","percy-jackson","young adult"
152,5526,"446528056","Nicholas Sparks","Dear John",4.01,441062,454781,10626,9683,25220,94711,145202,179965,"romance","nicholas-sparks","fiction","chick-lit","contemporary"
153,1582996,"1416914293","Cassandra Clare","City of Ashes (The Mortal Instruments, #2)",4.21,541117,586008,23643,6135,20075,92626,192934,274238,"fantasy","young adult","young adult","paranormal","romance"
154,8852,"743477103","William Shakespeare","Macbeth",3.88,496018,524826,7609,10551,35408,127354,183871,167642,"plays","fiction","classics","school","play"
155,15241,"618346260","J.R.R. Tolkien","The Two Towers (The Lord of the Rings, #2)",4.42,480446,532209,6980,3013,10264,55433,156232,307267,"fantasy","classics","fiction","adventure","classics"
156,42156,"031232118X","Emily Giffin","Something Borrowed (Darcy & Rachel, #1)",3.83,403601,435189,11567,16019,29297,104322,148507,137044,"chick-lit","romance","fiction","contemporary","chicklit"
