"book_id","goodreads_book_id","authors","title","average_rating","ratings_1","ratings_2","ratings_3","ratings_4","ratings_5","image_url","top_1","top_2","top_3","top_4","top_5"
15,48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday","The Diary of a Young Girl",4,45225,91270,355756,656870,875372,"https://images.gr-assets.com/books/1358276407m/48855.jpg","non-fiction","classics","history","biography","non-fiction"
16,2429135,"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",4,54835,86051,285413,667485,836050,"https://images.gr-assets.com/books/1327868566m/2429135.jpg","fiction","mystery","thriller","crime","suspense"
17,6148028,"Suzanne Collins","Catching Fire (The Hunger Games, #2)",4.5,10492,48030,262010,687238,980309,"https://images.gr-assets.com/books/1358273780m/6148028.jpg","young adult","dystopian","fantasy","science fiction","romance"
18,5,"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.5,6716,20413,166129,509447,1266670,"https://images.gr-assets.com/books/1499277281m/5.jpg","fantasy","young adult","fiction","young adult","magic"
19,34,"J.R.R. Tolkien","The Fellowship of the Ring (The Lord of the Rings, #1)",4.5,38031,55862,202332,493922,1042394,"https://images.gr-assets.com/books/1298411339m/34.jpg","fantasy","classics","fiction","classics","adventure"
20,7260188,"Suzanne Collins","Mockingjay (The Hunger Games, #3)",4,30144,110498,373060,618271,738775,"https://images.gr-assets.com/books/1358275419m/7260188.jpg","young adult","dystopian","fiction","dystopian","young adult"
21,2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.5,9528,31577,180210,494427,1124806,"https://images.gr-assets.com/books/1387141547m/2.jpg","fantasy","children","children","fiction","young adult"
22,12232938,"Alice Sebold","The Lovely Bones",4,62777,131188,404699,583575,479323,"https://images.gr-assets.com/books/1457810586m/12232938.jpg","fiction","mystery","young adult","contemporary","fantasy"
23,15881,"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.5,8253,42251,242345,548266,1065084,"https://images.gr-assets.com/books/1474169725m/15881.jpg","fantasy","young adult","fiction","young adult","magic"
24,6,"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.5,6676,20210,151785,494926,1195045,"https://images.gr-assets.com/books/1361482611m/6.jpg","fantasy","young adult","fiction","young adult","children"
25,136251,"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.5,9363,22245,113646,383914,1318227,"https://images.gr-assets.com/books/1474171184m/136251.jpg","fantasy","young adult","fiction","young adult","magic"
26,968,"Dan Brown","The Da Vinci Code (Robert Langdon, #2)",4,71345,126493,340790,539277,479387,"https://images.gr-assets.com/books/1303252999m/968.jpg","fiction","thriller","suspense","historical-fiction","adventure"
27,1,"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.5,7308,21516,136333,459028,1161491,"https://images.gr-assets.com/books/1361039191m/1.jpg","fantasy","young adult","fiction","young adult","magic"
28,7624,"William Golding","Lord of the Flies",3.5,92779,160295,425648,564916,427846,"https://images.gr-assets.com/books/1327869409m/7624.jpg","classics","fiction","classics","young adult","school"
29,18135,"William Shakespeare, Robert           Jackson","Romeo and Juliet",3.5,57980,153179,452673,519822,489235,"https://images.gr-assets.com/books/1327872146m/18135.jpg","classics","plays","fiction","romance","classics"
30,8442457,"Gillian Flynn","Gone Girl",4,38874,80807,280331,616031,610476,"https://images.gr-assets.com/books/1339602131m/8442457.jpg","mystery","crime","fiction","contemporary","thriller"
31,4667024,"Kathryn Stockett","The Help",4.5,10235,25117,134887,490754,942552,"https://images.gr-assets.com/books/1346100365m/4667024.jpg","fiction","historical-fiction","historical","adult","adult-fiction"
32,890,"John Steinbeck","Of Mice and Men",4,46630,110856,355169,532291,473795,"https://images.gr-assets.com/books/1437235233m/890.jpg","classics","fiction","classics","school","literature"
33,930,"Arthur Golden","Memoirs of a Geisha",4,23500,59033,258700,517157,559782,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","fiction","historical-fiction","romance","historical","japan"
34,10818853,"E.L. James","Fifty Shades of Grey (Fifty Shades, #1)",3.5,165455,152293,252185,294976,571909,"https://images.gr-assets.com/books/1385207843m/10818853.jpg","romance","fifty-shades","fiction","my-books","new-adult"
35,865,"Paulo Coelho, Alan R. Clarke","The Alchemist",4,74846,123614,289143,412180,504212,"https://images.gr-assets.com/books/1483412266m/865.jpg","fiction","classics","fantasy","philosophy","spirituality"
36,3636,"Lois Lowry","The Giver (The Giver, #1)",4,26497,59652,225326,448691,585279,"https://images.gr-assets.com/books/1342493368m/3636.jpg","children","fiction","classics","school-books","teen"
37,100915,"C.S. Lewis","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4,19309,55542,262038,513366,734629,"https://images.gr-assets.com/books/1353029077m/100915.jpg","fantasy","classics","fiction","young adult","children"
38,14050,"Audrey Niffenegger","The Time Traveler's Wife",4,44339,85429,257805,427210,493884,"https://images.gr-assets.com/books/1437728815m/14050.jpg","fiction","romance","fantasy","time-travel","science fiction"
39,13496,"George R.R. Martin","A Game of Thrones (A Song of Ice and Fire, #1)",4.5,19988,28983,114092,404583,874574,"https://images.gr-assets.com/books/1436732693m/13496.jpg","fiction","fantasy","fantasy","science fiction","adult"
40,19501,"Elizabeth Gilbert","Eat, Pray, Love",3.5,100373,149549,310212,332191,314272,"https://images.gr-assets.com/books/1503066414m/19501.jpg","non-fiction","memoir","travel","non-fiction","fiction"
41,28187,"Rick Riordan","The Lightning Thief (Percy Jackson and the Olympians, #1)",4,18303,48294,219638,435514,689365,"https://images.gr-assets.com/books/1400602609m/28187.jpg","fantasy","young adult","mythology","young adult","fiction"
42,1934,"Louisa May Alcott","Little Women (Little Women, #1)",4,31645,70011,250794,426280,535563,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","classics","fiction","classics","young adult","historical-fiction"
43,10210,"Charlotte Brontë, Michael Mason","Jane Eyre",4,35132,64274,212294,400214,574221,"https://images.gr-assets.com/books/1327867269m/10210.jpg","classics","literature","gothic","historical","british"
44,15931,"Nicholas Sparks","The Notebook (The Notebook, #1)",4,41395,63432,176469,298259,497194,"https://images.gr-assets.com/books/1385738917m/15931.jpg","fiction","chick-lit","romance","contemporary","adult"
45,4214,"Yann Martel","Life of Pi",4,39768,74331,218702,384164,360466,"https://images.gr-assets.com/books/1320562005m/4214.jpg","fantasy","adventure","classics","contemporary","literature"
46,43641,"Sara Gruen","Water for Elephants",4,16705,49832,200154,417328,424820,"https://images.gr-assets.com/books/1494428973m/43641.jpg","fiction","historical-fiction","romance","bookclub","contemporary-fiction"
47,19063,"Markus Zusak","The Book Thief",4.5,17892,35360,135272,377218,722056,"https://images.gr-assets.com/books/1390053681m/19063.jpg","historical-fiction","fiction","young adult","young adult","historical"
48,4381,"Ray Bradbury","Fahrenheit 451",4,28366,64289,238242,426292,419051,"https://images.gr-assets.com/books/1351643740m/4381.jpg","classics","fiction","science fiction","science fiction","dystopian"
49,49041,"Stephenie Meyer","New Moon (Twilight, #2)",3.5,102837,160660,294207,290612,350684,"https://images.gr-assets.com/books/1361039440m/49041.jpg","young adult","fantasy","romance","vampires","young adult"
50,30119,"Shel Silverstein","Where the Sidewalk Ends",4.5,16590,30792,139024,293222,544153,"https://images.gr-assets.com/books/1168052448m/30119.jpg","poetry","children","children","classics","children"
51,256683,"Cassandra Clare","City of Bones (The Mortal Instruments, #1)",4,34122,65349,203466,356048,582814,"https://images.gr-assets.com/books/1432730315m/256683.jpg","young adult","paranormal","romance","urban-fantasy","fiction"
52,428263,"Stephenie Meyer","Eclipse (Twilight, #3)",3.5,83094,124293,260763,309358,399134,"https://images.gr-assets.com/books/1361038355m/428263.jpg","young adult","fantasy","romance","vampires","young adult"
53,113436,"Christopher Paolini","Eragon (The Inheritance Cycle, #1)",4,50563,88536,240157,337943,408032,"https://images.gr-assets.com/books/1366212852m/113436.jpg","fantasy","young adult","fiction","young adult","dragons"
54,11,"Douglas Adams","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4,21764,41962,145173,299579,498001,"https://images.gr-assets.com/books/1327656754m/11.jpg","science fiction","science fiction","fiction","humor","fantasy"
55,5129,"Aldous Huxley","Brave New World",4,26367,60328,219895,389379,383166,"https://images.gr-assets.com/books/1487389574m/5129.jpg","classics","fiction","science fiction","science fiction","dystopian"
56,1162543,"Stephenie Meyer","Breaking Dawn (Twilight, #4)",3.5,100994,114893,213402,267706,410714,"https://images.gr-assets.com/books/1361039438m/1162543.jpg","fantasy","young adult","science fiction","contemporary","young adult"
57,37435,"Sue Monk Kidd","The Secret Life of Bees",4,17500,45455,185631,347540,341267,"https://images.gr-assets.com/books/1473454532m/37435.jpg","fiction","historical-fiction","young adult","adult-fiction","classics"
58,2956,"Mark Twain, John Seelye, Guy Cardwell","The Adventures of Huckleberry Finn",4,28467,76630,255722,344356,296316,"https://images.gr-assets.com/books/1405973850m/2956.jpg","classics","fiction","classics","historical-fiction","literature"
59,24178,"E.B. White, Garth Williams, Rosemary Wells","Charlotte's Web",4,18450,41124,191415,346090,487763,"https://images.gr-assets.com/books/1439632243m/24178.jpg","classics","children","fiction","children","children"
60,1618,"Mark Haddon","The Curious Incident of the Dog in the Night-Time",4,21049,58117,218218,355925,262481,"https://images.gr-assets.com/books/1479863624m/1618.jpg","fiction","young adult","classics","audio","mystery"
61,22557272,"Paula Hawkins","The Girl on the Train",4,27773,73897,273817,488447,362551,"https://images.gr-assets.com/books/1490903702m/22557272.jpg","mystery","fiction","thriller","read-in-2015","crime"
62,119322,"Philip Pullman","The Golden Compass (His Dark Materials, #1)",4,38382,64591,198764,313147,380030,"https://images.gr-assets.com/books/1451271747m/119322.jpg","fantasy","young adult","fiction","young adult","children"
63,6185,"Emily Brontë, Richard J. Dunn","Wuthering Heights",4,46469,84084,215320,309180,346082,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","classics","fiction","classics","romance","literature"
64,10917,"Jodi Picoult","My Sister's Keeper",4,17547,42763,162573,314003,350994,"https://images.gr-assets.com/books/1369504683m/10917.jpg","fiction","contemporary","chick-lit","drama","young adult"
65,4981,"Kurt Vonnegut Jr.","Slaughterhouse-Five",4,24964,45518,152442,300948,367890,"https://images.gr-assets.com/books/1440319389m/4981.jpg","classics","fiction","science fiction","science fiction","classics"
66,18405,"Margaret Mitchell","Gone with the Wind",4.5,19996,33136,116160,234290,493721,"https://images.gr-assets.com/books/1328025229m/18405.jpg","classics","historical-fiction","fiction","romance","classics"
67,128029,"Khaled Hosseini","A Thousand Splendid Suns",4.5,6509,18015,99030,295817,446694,"https://images.gr-assets.com/books/1345958969m/128029.jpg","fiction","historical-fiction","afghanistan","contemporary","middle-east"
68,22628,"Stephen Chbosky","The Perks of Being a Wallflower",4,14286,38658,143440,297501,461020,"https://images.gr-assets.com/books/1167352178m/22628.jpg","fiction","young adult","contemporary","coming-of-age","realistic-fiction"
69,11735983,"Veronica Roth","Insurgent (Divergent, #2)",4,10641,44620,182131,339977,369969,"https://images.gr-assets.com/books/1325667729m/11735983.jpg","young adult","dystopian","dystopian","young adult","fiction"
70,375802,"Orson Scott Card","Ender's Game (Ender's Saga, #1)",4.5,15330,27612,103439,264207,462829,"https://images.gr-assets.com/books/1408303130m/375802.jpg","science fiction","science fiction","fiction","young adult","fantasy"
71,18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein",4,29366,74142,231022,300495,248538,"https://images.gr-assets.com/books/1381512375m/18490.jpg","classics","fiction","horror","science fiction","gothic"
72,11588,"Stephen King","The Shining (The Shining #1)",4,18487,28981,123862,277393,382158,"https://images.gr-assets.com/books/1353277730m/11588.jpg","fiction","fantasy","king","mystery","supernatural"
73,1656001,"Stephenie Meyer","The Host (The Host, #1)",4,44215,62501,154906,227180,288758,"https://images.gr-assets.com/books/1318009171m/1656001.jpg","science fiction","science fiction","fiction","dystopian","young adult"
74,99561,"John Green","Looking for Alaska",4,16940,44232,147324,262932,359857,"https://images.gr-assets.com/books/1394798630m/99561.jpg","young adult","young adult","fiction","contemporary","romance"
75,227443,"Helen Fielding","Bridget Jones's Diary (Bridget Jones, #1)",4,28973,59309,198555,254836,212825,"https://images.gr-assets.com/books/1292060045m/227443.jpg","chick-lit","fiction","romance","humor","contemporary"
76,14935,"Jane Austen, Tony Tanner, Ros Ballaster","Sense and Sensibility",4,18430,34699,141987,272512,311754,"https://images.gr-assets.com/books/1397245675m/14935.jpg","fiction","historical-fiction","literature","classic-literature","british"
77,38709,"Louis Sachar, Louis Sachar","Holes (Holes, #1)",4,15495,43786,176946,269153,259257,"https://images.gr-assets.com/books/1327781893m/38709.jpg","young adult","fiction","young adult","children","children"
78,5139,"Lauren Weisberger","The Devil Wears Prada (The Devil Wears Prada, #1)",3.5,24231,58323,192366,226675,178250,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","chick-lit","fiction","contemporary","chicklit","romance"
79,1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox","The Odyssey",3.5,29703,65629,183082,224120,208223,"https://images.gr-assets.com/books/1390173285m/1381.jpg","classics","fiction","poetry","classics","mythology"
80,157993,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta","The Little Prince",4.5,15039,32866,114714,228440,468227,"https://images.gr-assets.com/books/1367545443m/157993.jpg","fantasy","children","children","classics","french"
81,7445,"Jeannette Walls","The Glass Castle",4,7901,18922,85191,227750,298102,"https://images.gr-assets.com/books/1400930557m/7445.jpg","non-fiction","memoir","non-fiction","memoirs","biography"
82,1845,"Jon Krakauer","Into the Wild",4,19229,35567,135199,248287,227095,"https://images.gr-assets.com/books/1403173986m/1845.jpg","non-fiction","non-fiction","biography","adventure","travel"
83,1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne","A Tale of Two Cities",4,28904,55555,153305,216378,223571,"https://images.gr-assets.com/books/1344922523m/1953.jpg","classics","fiction","classics","historical-fiction","literature"
84,7677,"Michael Crichton","Jurassic Park (Jurassic Park, #1)",4,15736,34222,138327,231583,230615,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","science fiction","fiction","science fiction","thriller","adventure"
85,370493,"Shel Silverstein","The Giving Tree",4.5,15345,20408,76071,167542,428921,"https://images.gr-assets.com/books/1174210942m/370493.jpg","children","children","children","children","classics"
86,32542,"John Grisham","A Time to Kill",4,12106,25938,122675,218617,229488,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","fiction","mystery","thriller","crime","suspense"
87,1617,"Elie Wiesel, Marion Wiesel","Night (The Night Trilogy #1)",4.5,7761,18539,90575,230227,360777,"https://images.gr-assets.com/books/1473495285m/1617.jpg","non-fiction","classics","history","non-fiction","school"
88,6442769,"John Green","Paper Towns",4,14105,47183,154479,223895,215609,"https://images.gr-assets.com/books/1349013610m/6442769.jpg","young adult","john-green","young adult","contemporary","fiction"
89,21787,"William Goldman","The Princess Bride",4,12883,21641,89236,196047,338235,"https://images.gr-assets.com/books/1327903636m/21787.jpg","science fiction","young adult","adult-fiction","fairy-tale","historical-fiction"
90,231804,"S.E. Hinton","The Outsiders",4,10178,34346,134244,227250,274419,"https://images.gr-assets.com/books/1442129426m/231804.jpg","fiction","young adult","classics","school","classics"
91,6186357,"James Dashner","The Maze Runner (Maze Runner, #1)",4,15291,43370,150488,266698,302109,"https://images.gr-assets.com/books/1375596592m/6186357.jpg","young adult","dystopian","dystopian","young adult","science fiction"
92,1202,"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",4,14586,26538,115789,216316,176072,"https://images.gr-assets.com/books/1327909092m/1202.jpg","non-fiction","science","non-fiction","psychology","sociology"
93,2998,"Frances Hodgson Burnett","The Secret Garden",4,8005,25207,129646,243821,285570,"https://images.gr-assets.com/books/1327873635m/2998.jpg","classics","fiction","children","classics","children"
94,320,"Gabriel García Márquez, Gregory Rabassa","One Hundred Years of Solitude",4,27340,37646,87675,155809,267197,"https://images.gr-assets.com/books/1327881361m/320.jpg","classics","literature","classics","latin-america","novel"
95,5297,"Oscar Wilde, Jeffrey Eugenides","The Picture of Dorian Gray",4,9825,30735,129420,246892,257679,"https://images.gr-assets.com/books/1424596966m/5297.jpg","classics","fiction","classics","horror","fantasy"
96,13536860,"E.L. James","Fifty Shades Freed (Fifty Shades, #3)",4,39079,55691,109963,140304,265079,"https://images.gr-assets.com/books/1336418837m/13536860.jpg","erotica","fiction","bdsm","adult","contemporary"
97,17245,"Bram Stoker, Nina Auerbach, David J. Skal","Dracula",4,11756,36719,151396,246043,243825,"https://images.gr-assets.com/books/1387151694m/17245.jpg","classics","horror","fiction","fantasy","classics"
98,5060378,"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",4,4623,15781,91021,258236,279592,"https://images.gr-assets.com/books/1351778881m/5060378.jpg","fiction","mystery","crime","suspense","mystery"
99,11857408,"E.L. James","Fifty Shades Darker (Fifty Shades, #2)",4,37245,58935,114203,150906,262051,"https://images.gr-assets.com/books/1358266080m/11857408.jpg","romance","guilty-pleasure","favs","billionaire","erótica"
100,7244,"Barbara Kingsolver","The Poisonwood Bible",4,21699,33702,92590,175725,239071,"https://images.gr-assets.com/books/1412242487m/7244.jpg","historical-fiction","fiction","classics","literature","africa"
101,4137,"David Sedaris","Me Talk Pretty One Day",4,19718,29034,93427,178021,194076,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","humor","non-fiction","memoir","non-fiction","essays"
102,19543,"Maurice Sendak","Where the Wild Things Are",4,15392,27532,93700,167043,332394,"https://images.gr-assets.com/books/1384434560m/19543.jpg","children","picture-books","children","children","children"
103,7126,"Alexandre Dumas, Robin Buss","The Count of Monte Cristo",4,10381,22482,89980,183142,295235,"https://images.gr-assets.com/books/1309203605m/7126.jpg","classics","fiction","classics","historical-fiction","adventure"
104,6288,"Cormac McCarthy","The Road",4,20086,36561,100989,190823,207328,"https://images.gr-assets.com/books/1439197219m/6288.jpg","science fiction","dystopian","dystopian","fiction","science fiction"
105,18710190,"Veronica Roth","Allegiant (Divergent, #3)",3.5,31626,78366,176061,192785,184388,"https://images.gr-assets.com/books/1395582745m/18710190.jpg","young adult","dystopian","dystopian","young adult","fiction"
107,3473,"Nicholas Sparks","A Walk to Remember",4,10640,24094,94327,169650,260870,"https://images.gr-assets.com/books/1385738968m/3473.jpg","adult","drama","adult-fiction","love","realistic-fiction"
108,9416,"Sophie Kinsella","Confessions of a Shopaholic (Shopaholic, #1)",3.5,30705,56949,156636,166927,146787,"https://images.gr-assets.com/books/1327872404m/9416.jpg","chic-lit","funny","adult-fiction","contemporary-romance","comedy"
109,24280,"Victor Hugo, Lee Fahnestock, Norman MacAfee","Les Misérables",4,15225,25914,87461,167385,264147,"https://images.gr-assets.com/books/1411852091m/24280.jpg","classics","fiction","historical-fiction","classics","literature"
110,10572,"George R.R. Martin","A Clash of Kings  (A Song of Ice and Fire, #2)",4.5,1788,7104,56167,221706,320000,"https://images.gr-assets.com/books/1358254974m/10572.jpg","fantasy","fiction","fantasy","science fiction","a-song-of-ice-and-fire"
111,10441,"Kim Edwards","The Memory Keeper's Daughter",3.5,19453,47004,145437,183150,115538,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","fiction","contemporary","adult-fiction","adult","contemporary-fiction"
112,15507958,"Jojo Moyes","Me Before You (Me Before You, #1)",4.5,10346,21880,91517,249474,367916,"https://images.gr-assets.com/books/1357108762m/15507958.jpg","romance","read-in-2015","fiction","audio","favorite"
113,168668,"Joseph Heller","Catch-22",4,20639,37912,106269,186745,230950,"https://images.gr-assets.com/books/1463157317m/168668.jpg","classics","fiction","classics","war","humor"
114,6900,"Mitch Albom, Saulius Dagys","Tuesdays with Morrie",4,11507,30534,107446,194448,240462,"https://images.gr-assets.com/books/1423763749m/6900.jpg","non-fiction","fiction","non-fiction","memoir","biography"
115,2187,"Jeffrey Eugenides","Middlesex",4,19329,30503,89740,171099,197327,"https://images.gr-assets.com/books/1437029776m/2187.jpg","fiction","historical-fiction","contemporary","lgbtq","contemporary-fiction"
116,24583,"Mark Twain, Guy Cardwell, John Seelye","The Adventures of Tom Sawyer",4,12130,34349,143659,217896,186192,"https://images.gr-assets.com/books/1404811979m/24583.jpg","classics","fiction","classics","adventure","young adult"
117,18131,"Madeleine L'Engle","A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4,17313,34988,119115,209745,268933,"https://images.gr-assets.com/books/1329061522m/18131.jpg","fantasy","young adult","fiction","classics","science fiction"
118,7763,"Amy Tan","The Joy Luck Club",4,14802,30197,116748,195930,167566,"https://images.gr-assets.com/books/1304978653m/7763.jpg","classics","china","fiction","contemporary","adult-fiction"
119,38447,"Margaret Atwood","The Handmaid's Tale",4,13998,32561,116975,252942,267088,"https://images.gr-assets.com/books/1498057733m/38447.jpg","fiction","classics","dystopian","dystopian","science fiction"
120,452306,"Ann Brashares","The Sisterhood of the Traveling Pants (Sisterhood, #1)",4,14996,42396,152024,177404,149784,"https://images.gr-assets.com/books/1461611233m/452306.jpg","young adult","young adult","fiction","chick-lit","contemporary"
122,37442,"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.5,40802,65835,132061,153583,133217,"https://images.gr-assets.com/books/1437733293m/37442.jpg","adult","science fiction","adult-fiction","fairy-tales","magic"
123,5358,"John Grisham","The Firm (Penguin Readers, Level 5)",4,5075,20119,111543,190966,160652,"https://images.gr-assets.com/books/1418465200m/5358.jpg","fiction","thriller","mystery","suspense","crime"
124,7937843,"Emma Donoghue","Room",4,11020,26079,99831,217995,201402,"https://images.gr-assets.com/books/1344265419m/7937843.jpg","fiction","contemporary","adult","adult-fiction","contemporary-fiction"
125,1420,"William Shakespeare, Richard Andrews, Rex Gibson","Hamlet",4,10413,32697,121040,192937,219807,"https://images.gr-assets.com/books/1351051208m/1420.jpg","classics","plays","fiction","drama","classics"
126,234225,"Frank Herbert","Dune (Dune Chronicles #1)",4,13354,22778,74206,154771,260867,"https://images.gr-assets.com/books/1434908555m/234225.jpg","science fiction","science fiction","fiction","fantasy","classics"
127,2612,"Malcolm Gladwell","The Tipping Point: How Little Things Can Make a Big Difference",4,15111,25871,106453,189120,162511,"https://images.gr-assets.com/books/1473396980m/2612.jpg","non-fiction","non-fiction","business","psychology","sociology"
128,11084145,"Walter Isaacson","Steve Jobs",4,19680,21986,88456,203975,245159,"https://images.gr-assets.com/books/1327861368m/11084145.jpg","biography","non-fiction","biography","business","non-fiction"
129,332613,"Ken Kesey","One Flew Over the Cuckoo's Nest",4,5672,15978,78714,191622,222472,"https://images.gr-assets.com/books/1485308778m/332613.jpg","classics","fiction","classics","literature","psychology"
130,2165,"Ernest Hemingway","The Old Man and the Sea",3.5,28645,52583,136217,186747,170136,"https://images.gr-assets.com/books/1329189714m/2165.jpg","classics","fiction","classics","literature","american-literature"
131,4395,"John Steinbeck","The Grapes of Wrath",4,23552,40261,103475,173589,212475,"https://images.gr-assets.com/books/1352912927m/4395.jpg","classics","fiction","classics","historical-fiction","literature"
132,3431,"Mitch Albom","The Five People You Meet in Heaven",4,12360,33669,107800,155830,165040,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","spirituality","fiction","contemporary-fiction","rory-gilmore-reading-challenge","christianity"
133,8127,"L.M. Montgomery","Anne of Green Gables (Anne of Green Gables, #1)",4,8864,19531,80256,158725,265976,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","fiction","young adult","classics","children","historical-fiction"
134,3777732,"Cassandra Clare","City of Glass (The Mortal Instruments, #3)",4.5,6646,17351,79202,179290,348071,"https://images.gr-assets.com/books/1369452339m/3777732.jpg","fantasy","young adult","young adult","paranormal","urban-fantasy"
135,62291,"George R.R. Martin","A Storm of Swords (A Song of Ice and Fire, #3)",4.5,1456,4820,36418,149268,335682,"https://images.gr-assets.com/books/1497931121m/62291.jpg","fantasy","fiction","fantasy","science fiction","a-song-of-ice-and-fire"
136,137791,"Rebecca Wells","Divine Secrets of the Ya-Ya Sisterhood",4,15795,35314,120396,158451,140552,"https://images.gr-assets.com/books/1408313524m/137791.jpg","fiction","chick-lit","contemporary","adult-fiction","rory-gilmore-reading-challenge"
